timestamp,cpu,user,nice,system,idle,iowait,irq,softirq,steal
1772862893.936714168,cpu0,398841,606,359444,351133,2703,0,173303,0
1772862893.936714168,cpu1,406807,633,360584,348832,2662,0,170222,0
1772862893.936714168,cpu2,377758,470,424796,303636,2359,0,164710,0
1772862893.936714168,cpu3,397358,470,413258,300378,2585,0,164752,0
1772862893.936714168,cpu4,413722,1126,362205,329191,2574,0,186157,0
1772862893.936714168,cpu5,418061,638,355933,340221,2575,0,174875,0
1772862893.936714168,cpu6,412078,283,357073,330964,2554,0,191770,0
1772862893.936714168,cpu7,405055,400,358209,335033,2853,0,187647,0
1772862894.960202534,cpu0,398922,606,359466,351133,2703,0,173303,0
1772862894.960202534,cpu1,406891,633,360602,348833,2663,0,170222,0
1772862894.960202534,cpu2,377850,470,424807,303636,2359,0,164710,0
1772862894.960202534,cpu3,397418,470,413300,300378,2585,0,164752,0
1772862894.960202534,cpu4,413814,1126,362215,329192,2574,0,186157,0
1772862894.960202534,cpu5,418146,638,355949,340221,2576,0,174875,0
1772862894.960202534,cpu6,412177,283,357077,330965,2554,0,191770,0
1772862894.960202534,cpu7,405138,400,358227,335033,2854,0,187647,0
1772862895.985845675,cpu0,398938,606,359550,351135,2703,0,173303,0
1772862895.985845675,cpu1,406989,633,360606,348833,2663,0,170222,0
1772862895.985845675,cpu2,377945,470,424814,303636,2359,0,164710,0
1772862895.985845675,cpu3,397476,470,413345,300378,2585,0,164752,0
1772862895.985845675,cpu4,413870,1126,362260,329193,2574,0,186157,0
1772862895.985845675,cpu5,418243,638,355955,340221,2576,0,174875,0
1772862895.985845675,cpu6,412267,283,357089,330965,2554,0,191770,0
1772862895.985845675,cpu7,405238,400,358229,335033,2854,0,187647,0
1772862897.004947645,cpu0,398938,606,359651,351135,2703,0,173304,0
1772862897.004947645,cpu1,407021,633,360623,348833,2663,0,170275,0
1772862897.004947645,cpu2,377989,470,424850,303636,2359,0,164732,0
1772862897.004947645,cpu3,397527,470,413396,300378,2585,0,164752,0
1772862897.004947645,cpu4,413966,1126,362267,329193,2574,0,186157,0
1772862897.004947645,cpu5,418326,638,355974,340221,2576,0,174875,0
1772862897.004947645,cpu6,412353,283,357100,330965,2554,0,191776,0
1772862897.004947645,cpu7,405336,400,358233,335033,2854,0,187647,0
1772862898.029837341,cpu0,398940,606,359752,351135,2703,0,173304,0
1772862898.029837341,cpu1,407065,633,360647,348833,2663,0,170310,0
1772862898.029837341,cpu2,378087,470,424855,303636,2359,0,164732,0
1772862898.029837341,cpu3,397619,470,413406,300378,2585,0,164753,0
1772862898.029837341,cpu4,414058,1126,362276,329193,2574,0,186157,0
1772862898.029837341,cpu5,418409,638,355990,340221,2576,0,174879,0
1772862898.029837341,cpu6,412403,283,357135,330965,2554,0,191793,0
1772862898.029837341,cpu7,405401,400,358271,335033,2854,0,187647,0
1772862899.050726524,cpu0,398944,606,359850,351135,2703,0,173304,0
1772862899.050726524,cpu1,407162,633,360651,348833,2663,0,170311,0
1772862899.050726524,cpu2,378158,470,424877,303636,2359,0,164741,0
1772862899.050726524,cpu3,397693,470,413419,300378,2585,0,164769,0
1772862899.050726524,cpu4,414151,1126,362286,329193,2574,0,186158,0
1772862899.050726524,cpu5,418496,638,355999,340221,2576,0,174885,0
1772862899.050726524,cpu6,412471,283,357158,330965,2554,0,191806,0
1772862899.050726524,cpu7,405439,400,358310,335033,2854,0,187673,0
1772862900.073705082,cpu0,398981,606,359915,351135,2703,0,173304,0
1772862900.073705082,cpu1,407262,633,360652,348833,2663,0,170311,0
1772862900.073705082,cpu2,378192,470,424922,303636,2359,0,164763,0
1772862900.073705082,cpu3,397729,470,413445,300378,2585,0,164807,0
1772862900.073705082,cpu4,414240,1126,362298,329193,2574,0,186158,0
1772862900.073705082,cpu5,418594,638,356002,340221,2576,0,174885,0
1772862900.073705082,cpu6,412564,283,357165,330965,2554,0,191806,0
1772862900.073705082,cpu7,405462,400,358350,335033,2854,0,187711,0
1772862901.090474651,cpu0,399019,606,359962,351135,2703,0,173320,0
1772862901.090474651,cpu1,407354,633,360656,348833,2663,0,170317,0
1772862901.090474651,cpu2,378289,470,424927,303636,2359,0,164763,0
1772862901.090474651,cpu3,397776,470,413471,300378,2585,0,164836,0
1772862901.090474651,cpu4,414321,1126,362309,329193,2574,0,186168,0
1772862901.090474651,cpu5,418691,638,356007,340221,2576,0,174885,0
1772862901.090474651,cpu6,412664,283,357167,330965,2554,0,191806,0
1772862901.090474651,cpu7,405514,400,358386,335033,2854,0,187725,0
1772862902.108457759,cpu0,399114,606,359968,351135,2703,0,173321,0
1772862902.108457759,cpu1,407447,633,360665,348833,2663,0,170317,0
1772862902.108457759,cpu2,378360,470,424943,303636,2359,0,164779,0
1772862902.108457759,cpu3,397830,470,413492,300378,2585,0,164863,0
1772862902.108457759,cpu4,414333,1126,362367,329193,2574,0,186199,0
1772862902.108457759,cpu5,418788,638,356012,340221,2576,0,174885,0
1772862902.108457759,cpu6,412731,283,357174,330965,2554,0,191834,0
1772862902.108457759,cpu7,405588,400,358414,335033,2854,0,187725,0
1772862903.127620355,cpu0,399208,606,359976,351135,2703,0,173321,0
1772862903.127620355,cpu1,407546,633,360668,348833,2663,0,170317,0
1772862903.127620355,cpu2,378441,470,424963,303636,2359,0,164779,0
1772862903.127620355,cpu3,397923,470,413496,300378,2585,0,164869,0
1772862903.127620355,cpu4,414343,1126,362423,329193,2574,0,186235,0
1772862903.127620355,cpu5,418885,638,356016,340221,2576,0,174885,0
1772862903.127620355,cpu6,412772,283,357183,330965,2554,0,191885,0
1772862903.127620355,cpu7,405655,400,358435,335033,2854,0,187739,0
1772862904.144378558,cpu0,399283,606,360002,351135,2703,0,173322,0
1772862904.144378558,cpu1,407642,633,360673,348833,2663,0,170317,0
1772862904.144378558,cpu2,378537,470,424969,303636,2359,0,164779,0
1772862904.144378558,cpu3,397950,470,413538,300378,2585,0,164900,0
1772862904.144378558,cpu4,414438,1126,362430,329193,2574,0,186235,0
1772862904.144378558,cpu5,418984,638,356020,340221,2576,0,174885,0
1772862904.144378558,cpu6,412866,283,357191,330965,2554,0,191885,0
1772862904.144378558,cpu7,405705,400,358463,335033,2854,0,187763,0
1772862905.163412388,cpu0,399368,606,360019,351135,2703,0,173322,0
1772862905.163412388,cpu1,407733,633,360677,348833,2663,0,170325,0
1772862905.163412388,cpu2,378601,470,424974,303636,2359,0,164811,0
1772862905.163412388,cpu3,397962,470,413598,300378,2585,0,164930,0
1772862905.163412388,cpu4,414532,1126,362437,329193,2574,0,186236,0
1772862905.163412388,cpu5,419082,638,356022,340221,2576,0,174886,0
1772862905.163412388,cpu6,412925,283,357213,330965,2554,0,191905,0
1772862905.163412388,cpu7,405791,400,358467,335033,2854,0,187774,0
