@runq_delay_us: 
[1]                    3 |                                                    |
[2, 4)               892 |@@@@@@@@@@@@@                                       |
[4, 8)              3497 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             1249 |@@@@@@@@@@@@@@@@@@                                  |
[16, 32)             798 |@@@@@@@@@@@                                         |
[32, 64)             448 |@@@@@@                                              |
[64, 128)            253 |@@@                                                 |
[128, 256)           195 |@@                                                  |
[256, 512)           159 |@@                                                  |
[512, 1K)            156 |@@                                                  |
[1K, 2K)              90 |@                                                   |
[2K, 4K)              73 |@                                                   |
[4K, 8K)               8 |                                                    |
[8K, 16K)              6 |                                                    |
[16K, 32K)            11 |                                                    |
[32K, 64K)             2 |                                                    |

@ctx_switches: 13376
@runq_delay_us: 
[1]                    3 |                                                    |
[2, 4)              1793 |@@@@@@@@@@@@                                        |
[4, 8)              7472 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             2588 |@@@@@@@@@@@@@@@@@@                                  |
[16, 32)            1637 |@@@@@@@@@@@                                         |
[32, 64)             903 |@@@@@@                                              |
[64, 128)            489 |@@@                                                 |
[128, 256)           386 |@@                                                  |
[256, 512)           328 |@@                                                  |
[512, 1K)            385 |@@                                                  |
[1K, 2K)             277 |@                                                   |
[2K, 4K)             189 |@                                                   |
[4K, 8K)              35 |                                                    |
[8K, 16K)             20 |                                                    |
[16K, 32K)            16 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 28580
@runq_delay_us: 
[1]                    3 |                                                    |
[2, 4)              2379 |@@@@@@@@@                                           |
[4, 8)             12448 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             4586 |@@@@@@@@@@@@@@@@@@@                                 |
[16, 32)            2479 |@@@@@@@@@@                                          |
[32, 64)            1275 |@@@@@                                               |
[64, 128)            683 |@@                                                  |
[128, 256)           524 |@@                                                  |
[256, 512)           459 |@                                                   |
[512, 1K)            591 |@@                                                  |
[1K, 2K)             484 |@@                                                  |
[2K, 4K)             267 |@                                                   |
[4K, 8K)              42 |                                                    |
[8K, 16K)             29 |                                                    |
[16K, 32K)            24 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 46263
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)              3137 |@@@@@@@@                                            |
[4, 8)             20345 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)             8220 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)            3127 |@@@@@@@                                             |
[32, 64)            1595 |@@@@                                                |
[64, 128)            871 |@@                                                  |
[128, 256)           653 |@                                                   |
[256, 512)           578 |@                                                   |
[512, 1K)           1025 |@@                                                  |
[1K, 2K)             838 |@@                                                  |
[2K, 4K)             288 |                                                    |
[4K, 8K)              45 |                                                    |
[8K, 16K)             31 |                                                    |
[16K, 32K)            25 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 73012
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)              3846 |@@@@@@                                              |
[4, 8)             28627 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            11827 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)            3768 |@@@@@@                                              |
[32, 64)            1860 |@@@                                                 |
[64, 128)           1070 |@                                                   |
[128, 256)           797 |@                                                   |
[256, 512)           682 |@                                                   |
[512, 1K)           1446 |@@                                                  |
[1K, 2K)            1188 |@@                                                  |
[2K, 4K)             336 |                                                    |
[4K, 8K)              46 |                                                    |
[8K, 16K)             31 |                                                    |
[16K, 32K)            26 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 100543
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)              4762 |@@@@@@                                              |
[4, 8)             36973 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            15721 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)            4674 |@@@@@@                                              |
[32, 64)            2279 |@@@                                                 |
[64, 128)           1376 |@                                                   |
[128, 256)          1008 |@                                                   |
[256, 512)           888 |@                                                   |
[512, 1K)           1942 |@@                                                  |
[1K, 2K)            1578 |@@                                                  |
[2K, 4K)             417 |                                                    |
[4K, 8K)              56 |                                                    |
[8K, 16K)             32 |                                                    |
[16K, 32K)            31 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 129858
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)              5441 |@@@@@@                                              |
[4, 8)             44711 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            19319 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)            5255 |@@@@@@                                              |
[32, 64)            2527 |@@                                                  |
[64, 128)           1599 |@                                                   |
[128, 256)          1123 |@                                                   |
[256, 512)           977 |@                                                   |
[512, 1K)           2351 |@@                                                  |
[1K, 2K)            1891 |@@                                                  |
[2K, 4K)             434 |                                                    |
[4K, 8K)              57 |                                                    |
[8K, 16K)             32 |                                                    |
[16K, 32K)            32 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 155898
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)              6049 |@@@@@@                                              |
[4, 8)             51808 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            22748 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)            6047 |@@@@@@                                              |
[32, 64)            2918 |@@                                                  |
[64, 128)           1940 |@                                                   |
[128, 256)          1322 |@                                                   |
[256, 512)          1137 |@                                                   |
[512, 1K)           2720 |@@                                                  |
[1K, 2K)            2196 |@@                                                  |
[2K, 4K)             480 |                                                    |
[4K, 8K)              65 |                                                    |
[8K, 16K)             33 |                                                    |
[16K, 32K)            32 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 180988
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)              6276 |@@@@@                                               |
[4, 8)             57941 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            26237 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)            6946 |@@@@@@                                              |
[32, 64)            3314 |@@                                                  |
[64, 128)           2218 |@                                                   |
[128, 256)          1494 |@                                                   |
[256, 512)          1292 |@                                                   |
[512, 1K)           3063 |@@                                                  |
[1K, 2K)            2489 |@@                                                  |
[2K, 4K)             514 |                                                    |
[4K, 8K)              66 |                                                    |
[8K, 16K)             33 |                                                    |
[16K, 32K)            32 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 203738
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)              6543 |@@@@@                                               |
[4, 8)             64312 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            30295 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)            8112 |@@@@@@                                              |
[32, 64)            3968 |@@@                                                 |
[64, 128)           2611 |@@                                                  |
[128, 256)          1765 |@                                                   |
[256, 512)          1520 |@                                                   |
[512, 1K)           3437 |@@                                                  |
[1K, 2K)            2790 |@@                                                  |
[2K, 4K)             566 |                                                    |
[4K, 8K)              69 |                                                    |
[8K, 16K)             34 |                                                    |
[16K, 32K)            33 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 229192
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)              9000 |@@@@@@                                              |
[4, 8)             70948 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            33448 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)            9710 |@@@@@@@                                             |
[32, 64)            4720 |@@@                                                 |
[64, 128)           3383 |@@                                                  |
[128, 256)          2467 |@                                                   |
[256, 512)          2146 |@                                                   |
[512, 1K)           3963 |@@                                                  |
[1K, 2K)            3157 |@@                                                  |
[2K, 4K)             701 |                                                    |
[4K, 8K)              81 |                                                    |
[8K, 16K)             41 |                                                    |
[16K, 32K)            33 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 264934
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             12298 |@@@@@@@                                             |
[4, 8)             81494 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            37853 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)           11373 |@@@@@@@                                             |
[32, 64)            5578 |@@@                                                 |
[64, 128)           4766 |@@@                                                 |
[128, 256)          3907 |@@                                                  |
[256, 512)          3456 |@@                                                  |
[512, 1K)           4845 |@@@                                                 |
[1K, 2K)            3631 |@@                                                  |
[2K, 4K)            1030 |                                                    |
[4K, 8K)             101 |                                                    |
[8K, 16K)             45 |                                                    |
[16K, 32K)            34 |                                                    |
[32K, 64K)             4 |                                                    |

@ctx_switches: 308963
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             17296 |@@@@@@@@@                                           |
[4, 8)             91647 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            41215 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)           13493 |@@@@@@@                                             |
[32, 64)            6644 |@@@                                                 |
[64, 128)           6252 |@@@                                                 |
[128, 256)          5457 |@@@                                                 |
[256, 512)          4824 |@@                                                  |
[512, 1K)           5704 |@@@                                                 |
[1K, 2K)            4011 |@@                                                  |
[2K, 4K)            1300 |                                                    |
[4K, 8K)             113 |                                                    |
[8K, 16K)             48 |                                                    |
[16K, 32K)            36 |                                                    |
[32K, 64K)             6 |                                                    |
[64K, 128K)            5 |                                                    |

@ctx_switches: 354169
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             18968 |@@@@@@@@@                                           |
[4, 8)            103036 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            46103 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)           15008 |@@@@@@@                                             |
[32, 64)            7415 |@@@                                                 |
[64, 128)           7495 |@@@                                                 |
[128, 256)          6981 |@@@                                                 |
[256, 512)          6521 |@@@                                                 |
[512, 1K)           7060 |@@@                                                 |
[1K, 2K)            4469 |@@                                                  |
[2K, 4K)            1579 |                                                    |
[4K, 8K)             138 |                                                    |
[8K, 16K)             55 |                                                    |
[16K, 32K)            36 |                                                    |
[32K, 64K)             6 |                                                    |
[64K, 128K)            5 |                                                    |

@ctx_switches: 398351
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             19199 |@@@@@@@@                                            |
[4, 8)            118276 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            52405 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)           18425 |@@@@@@@@                                            |
[32, 64)            8782 |@@@                                                 |
[64, 128)           9539 |@@@@                                                |
[128, 256)          9066 |@@@                                                 |
[256, 512)          7843 |@@@                                                 |
[512, 1K)           7631 |@@@                                                 |
[1K, 2K)            4836 |@@                                                  |
[2K, 4K)            1914 |                                                    |
[4K, 8K)             149 |                                                    |
[8K, 16K)             66 |                                                    |
[16K, 32K)            37 |                                                    |
[32K, 64K)             6 |                                                    |
[64K, 128K)            5 |                                                    |

@ctx_switches: 450536
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             19456 |@@@@@@@                                             |
[4, 8)            135462 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            57418 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)           21013 |@@@@@@@@                                            |
[32, 64)           10748 |@@@@                                                |
[64, 128)          11793 |@@@@                                                |
[128, 256)         11058 |@@@@                                                |
[256, 512)          9102 |@@@                                                 |
[512, 1K)           8122 |@@@                                                 |
[1K, 2K)            5268 |@@                                                  |
[2K, 4K)            2139 |                                                    |
[4K, 8K)             158 |                                                    |
[8K, 16K)             70 |                                                    |
[16K, 32K)            37 |                                                    |
[32K, 64K)             6 |                                                    |
[64K, 128K)            5 |                                                    |

@ctx_switches: 503611
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             20189 |@@@@@@                                              |
[4, 8)            150227 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            61462 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           23877 |@@@@@@@@                                            |
[32, 64)           12432 |@@@@                                                |
[64, 128)          13719 |@@@@                                                |
[128, 256)         12758 |@@@@                                                |
[256, 512)         10273 |@@@                                                 |
[512, 1K)           8816 |@@@                                                 |
[1K, 2K)            5761 |@                                                   |
[2K, 4K)            2558 |                                                    |
[4K, 8K)             247 |                                                    |
[8K, 16K)             86 |                                                    |
[16K, 32K)            39 |                                                    |
[32K, 64K)             6 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           0 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 550752
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             20426 |@@@@@@                                              |
[4, 8)            168276 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            67955 |@@@@@@@@@@@@@@@@@@@@                                |
[16, 32)           28135 |@@@@@@@@                                            |
[32, 64)           14898 |@@@@                                                |
[64, 128)          16379 |@@@@@                                               |
[128, 256)         15554 |@@@@                                                |
[256, 512)         12805 |@@@                                                 |
[512, 1K)          10450 |@@@                                                 |
[1K, 2K)            6468 |@                                                   |
[2K, 4K)            2957 |                                                    |
[4K, 8K)             258 |                                                    |
[8K, 16K)             96 |                                                    |
[16K, 32K)            39 |                                                    |
[32K, 64K)             6 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           0 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 612952
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             20796 |@@@@@                                               |
[4, 8)            180643 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            72830 |@@@@@@@@@@@@@@@@@@@@                                |
[16, 32)           31893 |@@@@@@@@@                                           |
[32, 64)           17100 |@@@@                                                |
[64, 128)          20260 |@@@@@                                               |
[128, 256)         19065 |@@@@@                                               |
[256, 512)         15312 |@@@@                                                |
[512, 1K)          12534 |@@@                                                 |
[1K, 2K)            6958 |@@                                                  |
[2K, 4K)            3108 |                                                    |
[4K, 8K)             282 |                                                    |
[8K, 16K)            104 |                                                    |
[16K, 32K)            42 |                                                    |
[32K, 64K)             7 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           2 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 666664
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             21255 |@@@@@                                               |
[4, 8)            192613 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            77896 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           35957 |@@@@@@@@@                                           |
[32, 64)           18969 |@@@@@                                               |
[64, 128)          23102 |@@@@@@                                              |
[128, 256)         22528 |@@@@@@                                              |
[256, 512)         19314 |@@@@@                                               |
[512, 1K)          16507 |@@@@                                                |
[1K, 2K)            7347 |@                                                   |
[2K, 4K)            3225 |                                                    |
[4K, 8K)             302 |                                                    |
[8K, 16K)            111 |                                                    |
[16K, 32K)            45 |                                                    |
[32K, 64K)             8 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           2 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 721557
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             21641 |@@@@@                                               |
[4, 8)            204867 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            82609 |@@@@@@@@@@@@@@@@@@@@                                |
[16, 32)           39466 |@@@@@@@@@@                                          |
[32, 64)           20704 |@@@@@                                               |
[64, 128)          25628 |@@@@@@                                              |
[128, 256)         25663 |@@@@@@                                              |
[256, 512)         23155 |@@@@@                                               |
[512, 1K)          20394 |@@@@@                                               |
[1K, 2K)            7691 |@                                                   |
[2K, 4K)            3341 |                                                    |
[4K, 8K)             317 |                                                    |
[8K, 16K)            116 |                                                    |
[16K, 32K)            46 |                                                    |
[32K, 64K)             8 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           2 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 774618
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             22550 |@@@@@                                               |
