timestamp,cpu_idx,processed,dropped,time_squeeze
1772866857.520873606,0,0x1055c8f9,0x00000000,0x00000008
1772866857.520873606,1,0x119ca36a,0x00000000,0x00000001
1772866857.520873606,2,0x0f3f7795,0x00000000,0x00000005
1772866857.520873606,3,0x0f728752,0x00000000,0x00000001
1772866857.520873606,4,0x12cc2aa0,0x00000000,0x00000002
1772866857.520873606,5,0x122aced7,0x00000000,0x00000003
1772866857.520873606,6,0x135aaeff,0x00000000,0x00000003
1772866857.520873606,7,0x13128515,0x00000000,0x00000001
1772866858.706194778,0,0x1055c8f9,0x00000000,0x00000008
1772866858.706194778,1,0x119ca3bf,0x00000000,0x00000001
1772866858.706194778,2,0x0f3f7807,0x00000000,0x00000005
1772866858.706194778,3,0x0f72877e,0x00000000,0x00000001
1772866858.706194778,4,0x12cc2aa5,0x00000000,0x00000002
1772866858.706194778,5,0x122aced7,0x00000000,0x00000003
1772866858.706194778,6,0x135aaeff,0x00000000,0x00000003
1772866858.706194778,7,0x1312854c,0x00000000,0x00000001
1772866860.093705890,0,0x1055edf6,0x00000000,0x00000008
1772866860.093705890,1,0x119ca3d7,0x00000000,0x00000001
1772866860.093705890,2,0x0f3f7820,0x00000000,0x00000005
1772866860.093705890,3,0x0f729215,0x00000000,0x00000001
1772866860.093705890,4,0x12cc2aa7,0x00000000,0x00000002
1772866860.093705890,5,0x122aeaf8,0x00000000,0x00000003
1772866860.093705890,6,0x135aaf25,0x00000000,0x00000003
1772866860.093705890,7,0x13128607,0x00000000,0x00000001
1772866861.285656259,0,0x1055ee10,0x00000000,0x00000008
1772866861.285656259,1,0x119ca563,0x00000000,0x00000001
1772866861.285656259,2,0x0f3f782f,0x00000000,0x00000005
1772866861.285656259,3,0x0f734691,0x00000000,0x00000001
1772866861.285656259,4,0x12cc2aa7,0x00000000,0x00000002
1772866861.285656259,5,0x122af4ad,0x00000000,0x00000003
1772866861.285656259,6,0x135aaf29,0x00000000,0x00000003
1772866861.285656259,7,0x13128665,0x00000000,0x00000001
1772866862.417285835,0,0x1055ee1d,0x00000000,0x00000008
1772866862.417285835,1,0x119ca578,0x00000000,0x00000001
1772866862.417285835,2,0x0f3f8b1a,0x00000000,0x00000005
1772866862.417285835,3,0x0f734756,0x00000000,0x00000001
1772866862.417285835,4,0x12cc2aa7,0x00000000,0x00000002
1772866862.417285835,5,0x122af4ad,0x00000000,0x00000003
1772866862.417285835,6,0x135b72e5,0x00000000,0x00000003
1772866862.417285835,7,0x13128665,0x00000000,0x00000001
1772866863.597133107,0,0x1055f172,0x00000000,0x00000008
1772866863.597133107,1,0x119ca634,0x00000000,0x00000001
1772866863.597133107,2,0x0f3fbf7a,0x00000000,0x00000005
1772866863.597133107,3,0x0f73477b,0x00000000,0x00000001
1772866863.597133107,4,0x12cc2aa7,0x00000000,0x00000002
